"","Make","Model","Style","Year","RealPrice","Edmund's Price","KBB","CarGuru"
"25","Jaguar","XJ","4dr Sdn XJ8",2004,7488,6073,5507,"7404"
"26","Jaguar","F-TYPE","2dr Conv Auto S AWD",2016,61706,59184,57171,"62060"
"27","Jaguar","S-TYPE","4dr Sdn V8",2004,8286,4890,6113,NA
"28","Porsche","911 Carrera","2dr Carrera Turbo Tiptronic",2003,16310,38405,53673,"26794"
"29","Porsche","Cayenne","AWD 4dr Tiptronic",2013,27912,29159,37128,"38642"
"30","Porsche","Cayman","2dr Cpe GTS",2015,45920,50900,69631,"68934"
"31","HUMMER","H2","4dr Wgn 4WD SUT",2006,22641,18563,30544,"25310"
"32","HUMMER","H2","4dr Wgn",2004,7471,12057,21526,"19805"
"33","HUMMER","H3","4WD 4dr SUV",2007,12642,10732,13231,"14149"
"34","MINI","Cooper","2dr S",2016,25968,17992,NA,"18636"
"35","MINI","Cooper Hardtop","2dr Cpe",2007,6060,NA,NA,"17728"
"36","MINI","Cooper","2dr Convertible",2006,6706,4416,NA,"6198"
"37","Land Rover","Range Rover","V8 Supercharged Autobiography LWB",2017,131396,157196,NA,"124287"
"38","Land Rover","Range Rover Sport","V6 Supercharged SE",2017,59085,64369,NA,NA
"39","Land Rover","Range Rover Evoque","2dr Cpe SE Premium",2016,35639,34584,NA,NA
"40","FIAT","500X","Trekking AWD",2017,20136,19467,NA,NA
"41","FIAT","500L","5dr HB Trekking",2014,10674,10066,10142,"9812"
"42","FIAT","500X","AWD 4dr Trekking",2016,18583,14102,12569,"14163"
"43","INFINITI","QX56","4dr AWD",2004,9391,8339,10313,"10306"
"44","INFINITI","I35","4dr Sdn Luxury",2003,4853,3934,3096,NA
"45","INFINITI","G35","4dr Sport RWD",2008,10621,8655,11506,"11548"
"46","Isuzu","Rodeo","4dr LSE 3.2L Auto",2001,3040,2512,1622,NA
"47","Isuzu","i-370","2WD Crew Cab LS",2007,5141,NA,11943,"5620"
"48","Isuzu","Ascender","4dr 2WD EXT LS",2005,4883,4829,2631,"3268"
"49","Lexus","RX 350","FWD 4dr",2008,12230,11797,13591,"11954"
"50","Lexus","IS 250","4dr Sport Sdn Auto RWD",2012,16280,16935,19036,"17650"
"51","Lexus","RX 350","AWD 4dr F Sport",2015,32565,32576,33701,"35319"
